Date,Coin,Qty,Side,Price,Note
03/08 04:55:42,KRW-POLY,32.26329832,sell,478.0,Sell-4: 478<481and478.0<478
03/08 04:55:44,KRW-NEAR,0.8496176720475785,buy,11770.0,Bollinger Band Upper
03/08 04:55:57,KRW-NEAR,1.30512953,sell,11770.0,Sell-4: 11820<12008and11780.0<11820
03/08 04:56:02,KRW-CVC,32.467532467532465,buy,308.0,Bollinger Band Upper
03/08 04:56:15,KRW-CVC,49.82515844,sell,308.0,Sell-4: 308<312and308.0<308
03/08 04:56:24,KRW-POLY,21.008403361344538,buy,476.0,Bollinger Band Upper
03/08 04:56:36,KRW-POLY,32.10363046,sell,476.0,Sell-4: 478<481and476.0<478
03/08 04:56:38,KRW-NEAR,0.847457627118644,buy,11800.0,Bollinger Band Upper
03/08 04:56:51,KRW-NEAR,1.28994039,sell,11810.0,Sell-4: 11828<12010and11810.0<11828
03/08 04:57:04,KRW-POLY,21.05263157894737,buy,475.0,Bollinger Band Upper
03/08 04:57:18,KRW-POLY,31.87884612,sell,477.0,Sell-4: 478<481and477.0<478
